Tipo de atividade,Data,Favorito,Título,Distância,Calorias,Tempo,FC Média,FC máxima,Training Effect Aeróbico,Cadência de corrida média,Cadência de corrida máxima,Velocidade média,Velocidade máxima,Ganho de elevação,Perda da elevação,Comprimento médio da passada,Proporção de média vertical,Oscilação vertical média,Training Stress Score®,Granularidade,Fluxo,Total de repetições,Total de conjuntos,Tempo de escalada,Tempo no fundo,Temp mínima,Intervalo de superfície,Descompressão,Tempo da melhor volta,Número de voltas,Temp máxima,Tempo em movimento,Duração,Elevação mínima,Elevação máxima
Corrida,2020-05-29 17:54:44,false,"Corrida","0,00","794","01:00:58","163","181","--","--","--","--","--","--","--","0,00","0,0","0,0","0,0","0,0","0,0","--","--","1:00:58","0:00","0,0","0:00","Não","00:00.00","1","0,0","00:00:00","01:00:58","--","--"
Corrida,2020-05-27 06:56:19,false,"Blumenau Corrida","8,58","756","00:54:06","169","181","--","--","--","6:19","3:08","95","100","0,00","0,0","0,0","0,0","0,0","0,0","--","--","54:06","0:00","0,0","0:00","Não","00:00.00","1","0,0","00:52:43","00:56:03","12","56"
Corrida,2020-05-25 07:11:42,false,"Blumenau Corrida","1,90","147","00:19:00","128","143","--","--","--","10:01","8:32","15","5","0,00","0,0","0,0","0,0","0,0","0,0","--","--","19:00","0:00","0,0","0:00","Não","00:00.00","1","0,0","00:19:00","00:19:00","12","28"
Corrida,2020-05-25 07:06:09,false,"Blumenau Corrida","1,00","64","00:04:22,2","174","180","--","--","--","4:22","3:54","1","--","0,00","0,0","0,0","0,0","0,0","0,0","--","--","4:22,2","0:00","0,0","0:00","Não","00:00.00","1","0,0","00:04:22","00:04:22,2","12","16"
Corrida,2020-05-25 06:52:36,false,"Blumenau Corrida","1,46","80","00:12:56","118","160","--","--","--","8:52","5:52","3","17","0,00","0,0","0,0","0,0","0,0","0,0","--","--","12:56","0:00","0,0","0:00","Não","00:00.00","1","0,0","00:12:56","00:12:56","12","26"
Corrida em esteira,2020-05-22 16:20:09,false,"Corrida","0,00","627","00:49:18","161","190","--","--","--","--","--","--","--","0,00","0,0","0,0","0,0","0,0","0,0","--","--","49:18","0:00","0,0","0:00","Não","00:00.00","1","0,0","00:00:00","00:49:18","--","--"
Corrida,2020-05-20 17:22:39,false,"Blumenau Corrida","5,90","516","00:35:35","172","185","--","--","--","6:02","5:05","64","68","0,00","0,0","0,0","0,0","0,0","0,0","--","--","35:35","0:00","0,0","0:00","Não","00:00.00","1","0,0","00:35:29","00:35:35","12","56"
Corrida,2020-05-17 08:35:35,false,"Blumenau Corrida","13,51","1.185","01:25:57","168","204","--","--","--","6:22","2:11","221","225","0,00","0,0","0,0","0,0","0,0","0,0","--","--","1:25:57","0:00","0,0","0:00","Não","00:00.00","1","0,0","01:25:57","01:25:57","20","117"
Corrida em esteira,2020-05-15 18:08:07,false,"Corrida","0,00","557","00:40:12","168","180","--","--","--","--","--","--","--","0,00","0,0","0,0","0,0","0,0","0,0","--","--","40:12","0:00","0,0","0:00","Não","00:00.00","1","0,0","00:00:00","00:40:12","--","--"
Corrida em esteira,2020-05-13 18:59:10,false,"Corrida","0,00","608","00:46:26","163","187","--","--","--","--","--","--","--","0,00","0,0","0,0","0,0","0,0","0,0","--","--","46:26","0:00","0,0","0:00","Não","00:00.00","1","0,0","00:00:00","00:46:26","--","--"
Treino de força,2020-05-12 06:55:30,false,"Musculação","0,00","331","00:57:42","115","152","--","--","--","--","--","--","--","0,00","0,0","0,0","0,0","0,0","0,0","--","--","57:42","0:00","0,0","0:00","Não","00:00.00","1","0,0","00:00:00","00:57:42","--","--"
Corrida,2020-05-11 06:59:45,false,"Blumenau Corrida","6,02","473","00:34:55","166","183","--","--","--","5:48","2:12","63","67","0,00","0,0","0,0","0,0","0,0","0,0","--","--","34:55","0:00","0,0","0:00","Não","00:10.37","4","0,0","00:32:12","00:34:55","22","55"
Corrida,2020-05-10 08:56:49,false,"Blumenau Corrida","12,82","1.125","01:18:55","171","182","--","--","--","6:09","2:23","188","192","0,00","0,0","0,0","0,0","0,0","0,0","--","--","1:18:55","0:00","0,0","0:00","Não","00:00.00","1","0,0","01:18:55","01:18:55","20","117"
Corrida,2020-05-08 06:49:48,false,"Blumenau Corrida","4,71","538","00:41:37","164","184","--","--","--","8:50","1:00","75","75","0,00","0,0","0,0","0,0","0,0","0,0","--","--","41:37","0:00","0,0","0:00","Não","00:55.56","21","0,0","00:36:04","00:41:37","18","36"
Treino de força,2020-05-07 18:41:01,false,"Musculação","0,00","290","00:52:56","113","158","--","--","--","--","--","--","--","0,00","0,0","0,0","0,0","0,0","0,0","--","--","52:56","0:00","0,0","0:00","Não","00:00.00","1","0,0","00:00:00","00:52:56","--","--"
Corrida,2020-05-06 06:41:37,false,"Blumenau Corrida","9,24","822","00:56:30","173","184","--","--","--","6:07","4:03","104","107","0,00","0,0","0,0","0,0","0,0","0,0","--","--","56:30","0:00","0,0","0:00","Não","01:23.65","10","0,0","00:56:28","00:56:30","12","56"
Treino de força,2020-05-05 06:31:09,false,"Musculação","0,00","212","01:00:23","100","122","--","--","--","--","--","--","--","0,00","0,0","0,0","0,0","0,0","0,0","--","--","1:00:23","0:00","0,0","0:00","Não","00:00.00","1","0,0","00:00:00","01:00:23","--","--"
Corrida,2020-05-04 17:35:48,false,"Blumenau Corrida","6,00","503","00:36:54","167","183","--","--","--","6:09","1:49","65","69","0,00","0,0","0,0","0,0","0,0","0,0","--","--","36:54","0:00","0,0","0:00","Não","02:57.84","5","0,0","00:32:57","00:36:54","22","55"
Corrida,2020-05-03 08:45:24,false,"Blumenau Corrida","10,30","860","01:00:01","172","184","--","--","--","5:50","3:17","110","109","0,00","0,0","0,0","0,0","0,0","0,0","--","--","1:00:01","0:00","0,0","0:00","Não","01:39.89","11","0,0","00:59:58","01:00:01","14","60"
Corrida,2020-05-01 08:21:11,false,"Blumenau Corrida","11,60","1.036","01:12:38","171","183","--","--","--","6:16","4:36","178","184","0,00","0,0","0,0","0,0","0,0","0,0","--","--","1:12:38","0:00","0,0","0:00","Não","00:00.00","1","0,0","01:12:38","01:12:38","20","116"
Treino de força,2020-04-30 18:43:03,false,"Musculação","0,00","216","00:41:17","111","161","--","--","--","--","--","--","--","0,00","0,0","0,0","0,0","0,0","0,0","--","--","41:17","0:00","0,0","0:00","Não","00:00.00","1","0,0","00:00:00","00:41:17","--","--"
Corrida,2020-04-29 06:31:42,false,"Blumenau Corrida","6,41","586","00:51:44","153","182","--","--","--","8:04","3:47","18","30","0,00","0,0","0,0","0,0","0,0","0,0","--","--","51:44","0:00","0,0","0:00","Não","00:05.33","22","0,0","00:40:38","00:51:44","12","31"
Treino de força,2020-04-28 06:29:00,false,"Musculação","0,00","179","00:56:14","98","120","--","--","--","--","--","--","--","0,00","0,0","0,0","0,0","0,0","0,0","--","--","56:14","0:00","0,0","0:00","Não","00:00.00","1","0,0","00:00:00","00:56:14","--","--"
Corrida,2020-04-27 06:30:05,false,"Blumenau Corrida","7,00","577","00:45:17","162","182","--","--","--","6:28","2:33","24","40","0,00","0,0","0,0","0,0","0,0","0,0","--","--","45:17","0:00","0,0","0:00","Não","01:00.28","9","0,0","00:40:52","00:45:17","12","28"
Corrida,2020-04-25 07:36:09,false,"Blumenau Corrida","9,44","871","01:00:01","173","186","--","--","--","6:21","2:31","143","147","0,00","0,0","0,0","0,0","0,0","0,0","--","--","1:00:01","0:00","0,0","0:00","Não","02:36.71","10","0,0","00:59:34","01:00:01","21","71"
Corrida,2020-04-24 17:27:20,false,"Blumenau Corrida","8,00","708","00:48:39","173","184","--","--","--","6:05","2:41","117","116","0,00","0,0","0,0","0,0","0,0","0,0","--","--","48:39","0:00","0,0","0:00","Não","05:47.12","8","0,0","00:48:37","00:48:39","21","60"
Treino de força,2020-04-23 06:30:02,false,"Musculação","0,00","355","00:56:05","119","161","--","--","--","--","--","--","--","0,00","0,0","0,0","0,0","0,0","0,0","--","--","56:05","0:00","0,0","0:00","Não","00:00.00","1","0,0","00:00:00","00:56:05","--","--"
Corrida,2020-04-22 06:30:38,false,"Blumenau Corrida","9,01","758","00:54:32","169","184","--","--","--","6:03","3:08","138","140","0,00","0,0","0,0","0,0","0,0","0,0","--","--","54:32","0:00","0,0","0:00","Não","00:08.21","13","0,0","00:54:29","00:54:32","21","59"
Corrida,2020-04-20 06:59:59,false,"Blumenau Corrida","5,00","426","00:31:00","168","187","--","--","--","6:12","4:13","11","25","0,00","0,0","0,0","0,0","0,0","0,0","--","--","31:00","0:00","0,0","0:00","Não","01:09.44","7","0,0","00:26:20","00:31:00","12","30"
Corrida,2020-04-18 07:17:43,false,"Blumenau Corrida","9,69","881","01:00:02","174","184","--","--","--","6:12","2:25","147","151","0,00","0,0","0,0","0,0","0,0","0,0","--","--","1:00:02","0:00","0,0","0:00","Não","03:59.79","10","0,0","01:00:00","01:00:02","22","73"
Corrida,2020-04-17 06:50:24,false,"Blumenau Corrida","5,16","433","00:30:02","172","187","--","--","--","5:49","4:41","27","30","0,00","0,0","0,0","0,0","0,0","0,0","--","--","30:02","0:00","0,0","0:00","Não","00:00.00","1","0,0","00:30:01","00:30:02","12","29"
Corrida,2020-04-16 06:30:58,false,"Musculação","0,00","267","00:43:50","117","150","--","--","--","--","--","--","--","0,00","0,0","0,0","0,0","0,0","0,0","--","--","43:50","0:00","0,0","0:00","Não","00:00.00","1","0,0","00:00:00","00:43:50","--","--"
Corrida,2020-04-15 06:57:11,false,"Blumenau Corrida","5,23","456","00:32:06","172","191","--","--","--","6:08","4:24","18","33","0,00","0,0","0,0","0,0","0,0","0,0","--","--","32:06","0:00","0,0","0:00","Não","00:04.61","12","0,0","00:29:20","00:32:06","12","30"
Corrida,2020-04-14 07:28:53,false,""Musculação" em casa","0,00","403","00:43:43","138","170","--","--","--","--","--","--","--","0,00","0,0","0,0","0,0","0,0","0,0","--","--","43:43","0:00","0,0","0:00","Não","00:00.00","1","0,0","00:00:00","00:43:43","--","--"
Corrida,2020-04-13 06:45:27,false,"Blumenau Corrida","5,32","470","00:30:01","180","194","--","--","--","5:39","5:13","42","48","0,00","0,0","0,0","0,0","0,0","0,0","--","--","30:01","0:00","0,0","0:00","Não","00:00.00","1","0,0","00:30:01","00:30:01","12","38"
Corrida,2020-04-11 08:28:23,false,"Blumenau Corrida","5,23","465","00:30:01","179","192","--","--","--","5:44","1:04","45","50","0,00","0,0","0,0","0,0","0,0","0,0","--","--","30:01","0:00","0,0","0:00","Não","00:00.00","1","0,0","00:30:01","00:30:01","22","45"
Corrida,2020-04-08 07:46:34,false,"Blumenau Corrida","5,19","346","00:40:47","--","--","--","--","--","7:52","1:03","21","20","0,00","0,0","0,0","0,0","0,0","0,0","--","--","40:47","0:00","0,0","0:00","Não","02:01.44","14","0,0","00:40:46","00:40:47","18","26"
Corrida,2020-04-06 08:28:29,false,"Blumenau Corrida","3,57","312","00:33:33","139","178","--","--","--","9:24","0:35","16","16","0,00","0,0","0,0","0,0","0,0","0,0","--","--","33:33","0:00","0,0","0:00","Não","02:49.21","8","0,0","00:32:13","00:33:33","18","25"
Corrida,2020-03-14 06:54:48,false,"Blumenau Corrida","10,01","711","01:05:37","--","--","--","--","--","6:33","1:44","133","134","0,00","0,0","0,0","0,0","0,0","0,0","--","--","1:05:37","0:00","0,0","0:00","Não","00:00.00","1","0,0","01:05:37","01:05:37","21","60"
Corrida,2020-03-09 19:05:22,false,"Blumenau Corrida","6,17","449","00:35:30","--","--","--","--","--","5:45","5:19","13","15","0,00","0,0","0,0","0,0","0,0","0,0","--","--","35:30","0:00","0,0","0:00","Não","05:40.48","6","0,0","00:35:29","00:35:30","13","21"
Corrida,2020-03-04 19:09:53,false,"Blumenau Corrida","3,30","193","00:31:07","--","--","--","--","--","9:27","6:16","7","10","0,00","0,0","0,0","0,0","0,0","0,0","--","--","31:07","0:00","0,0","0:00","Não","00:00.00","1","0,0","00:31:06","00:33:17","13","20"
Corrida,2020-03-02 19:08:10,false,"Blumenau Corrida","4,50","333","00:27:37","--","--","--","--","--","6:08","3:10","17","14","0,00","0,0","0,0","0,0","0,0","0,0","--","--","27:37","0:00","0,0","0:00","Não","00:02.13","18","0,0","00:25:14","00:40:04","17","26"
Corrida,2020-02-29 06:48:19,false,"Blumenau Corrida","10,00","733","01:00:44","--","--","--","--","--","6:04","2:22","142","145","0,00","0,0","0,0","0,0","0,0","0,0","--","--","1:00:44","0:00","0,0","0:00","Não","00:00.00","1","0,0","01:00:44","01:00:44","22","60"
Corrida,2020-02-26 19:13:49,false,"Blumenau Corrida","3,47","192","00:35:35","--","--","--","--","--","10:16","6:26","61","61","0,00","0,0","0,0","0,0","0,0","0,0","--","--","35:35","0:00","0,0","0:00","Não","00:37.96","7","0,0","00:33:45","00:35:35","17","28"
Corrida,2020-02-24 19:11:49,false,"Blumenau Corrida","1,53","80","00:18:36","--","--","--","--","--","12:09","8:52","13","--","0,00","0,0","0,0","0,0","0,0","0,0","--","--","18:36","0:00","0,0","0:00","Não","00:00.00","1","0,0","00:18:36","00:18:36","14","29"
Corrida,2020-02-24 18:51:28,false,"Blumenau Corrida","3,06","192","00:20:06","--","--","--","--","--","6:34","4:03","6","6","0,00","0,0","0,0","0,0","0,0","0,0","--","--","20:06","0:00","0,0","0:00","Não","00:58.40","20","0,0","00:20:01","00:20:06","14","18"
Corrida,2020-02-24 18:35:14,false,"Blumenau Corrida","2,00","149","00:11:42","--","--","--","--","--","5:51","4:02","3","18","0,00","0,0","0,0","0,0","0,0","0,0","--","--","11:42","0:00","0,0","0:00","Não","00:00.00","1","0,0","00:11:42","00:11:42","12","28"
Corrida,2020-02-21 13:08:18,false,"Corrida","0,00","--","00:00:07,4","--","--","--","--","--","--","--","--","--","0,00","0,0","0,0","0,0","0,0","0,0","--","--","0:07,4","0:00","0,0","0:00","Não","00:00.00","1","0,0","00:00:00","00:00:07,4","--","--"
Corrida,2020-02-19 19:08:03,false,"Blumenau Corrida","5,37","362","00:47:58","--","--","--","--","--","8:56","3:58","148","138","0,00","0,0","0,0","0,0","0,0","0,0","--","--","47:58","0:00","0,0","0:00","Não","00:36.84","24","0,0","00:47:54","00:47:58","13","61"
Corrida,2020-02-15 06:59:00,false,"Blumenau Corrida","10,00","726","01:02:29","--","--","--","--","--","6:15","2:07","125","129","0,00","0,0","0,0","0,0","0,0","0,0","--","--","1:02:29","0:00","0,0","0:00","Não","00:00.00","1","0,0","01:02:29","01:02:29","22","59"
Corrida,2020-02-12 19:16:23,false,"Blumenau Corrida","4,17","293","00:33:09","--","--","--","--","--","7:57","4:28","138","145","0,00","0,0","0,0","0,0","0,0","0,0","--","--","33:09","0:00","0,0","0:00","Não","01:04.36","15","0,0","00:31:16","00:33:37","19","63"
Corrida,2020-02-10 19:10:00,false,"Blumenau Corrida","6,22","449","00:44:21","--","--","--","--","--","7:08","3:32","6","7","0,00","0,0","0,0","0,0","0,0","0,0","--","--","44:21","0:00","0,0","0:00","Não","00:44.84","19","0,0","00:44:18","00:44:21","13","20"
Corrida,2020-02-09 07:46:49,false,"Blumenau Corrida","7,36","516","00:50:37","--","--","--","--","--","6:53","3:03","27","31","0,00","0,0","0,0","0,0","0,0","0,0","--","--","50:37","0:00","0,0","0:00","Não","00:01.16","10","0,0","00:50:34","00:50:37","12","29"
Corrida,2020-02-05 19:09:03,false,"Blumenau Corrida","5,18","363","00:40:10","--","--","--","--","--","7:45","4:27","158","151","0,00","0,0","0,0","0,0","0,0","0,0","--","--","40:10","0:00","0,0","0:00","Não","00:58.36","17","0,0","00:37:49","00:40:10","16","55"
Corrida,2020-02-02 07:56:37,false,"Blumenau Corrida","9,28","658","01:02:55","--","--","--","--","--","6:47","5:04","92","92","0,00","0,0","0,0","0,0","0,0","0,0","--","--","1:02:55","0:00","0,0","0:00","Não","00:00.00","1","0,0","01:02:54","01:02:55","12","56"
Corrida,2020-01-29 19:04:28,false,"Blumenau Corrida","6,13","450","00:35:34","--","--","--","--","--","5:48","5:03","15","16","0,00","0,0","0,0","0,0","0,0","0,0","--","--","35:34","0:00","0,0","0:00","Não","00:00.00","1","0,0","00:35:34","00:35:34","13","20"
Corrida,2020-01-27 19:36:10,false,"Blumenau Corrida","0,65","49","00:04:17,6","--","--","--","--","--","6:33","5:30","8","7","0,00","0,0","0,0","0,0","0,0","0,0","--","--","4:17,6","0:00","0,0","0:00","Não","00:00.00","1","0,0","00:04:17,6","00:04:17,6","17","26"
Corrida,2020-01-27 19:28:14,false,"Blumenau Corrida","0,99","73","00:04:05,7","--","--","--","--","--","4:07","3:39","8","17","0,00","0,0","0,0","0,0","0,0","0,0","--","--","4:05,7","0:00","0,0","0:00","Não","00:00.00","1","0,0","00:04:05,7","00:04:05,7","17","27"
Corrida,2020-01-27 19:19:49,false,"Blumenau Corrida","0,63","47","00:04:02,1","--","--","--","--","--","6:26","5:55","8","9","0,00","0,0","0,0","0,0","0,0","0,0","--","--","4:02,1","0:00","0,0","0:00","Não","00:00.00","1","0,0","00:04:02","00:04:02,1","17","27"
Corrida,2020-01-22 19:05:33,false,"Blumenau Corrida","5,32","380","00:34:44","--","--","--","--","--","6:32","4:26","107","117","0,00","0,0","0,0","0,0","0,0","0,0","--","--","34:44","0:00","0,0","0:00","Não","00:00.85","15","0,0","00:34:41","00:40:49","13","54"
Corrida,2020-01-20 19:05:50,false,"Blumenau Corrida","6,96","503","00:47:17","--","--","--","--","--","6:47","4:12","56","49","0,00","0,0","0,0","0,0","0,0","0,0","--","--","47:17","0:00","0,0","0:00","Não","01:00.45","15","0,0","00:45:51","00:47:17","9","24"
Corrida,2020-01-18 07:26:32,false,"Blumenau Corrida","7,71","565","00:50:19","--","--","--","--","--","6:31","3:45","117","122","0,00","0,0","0,0","0,0","0,0","0,0","--","--","50:19","0:00","0,0","0:00","Não","00:00.00","1","0,0","00:50:19","00:50:19","22","65"
Corrida,2020-01-15 19:43:08,false,"Blumenau Corrida","0,41","30","00:02:12,8","--","--","--","--","--","5:24","5:01","--","--","0,00","0,0","0,0","0,0","0,0","0,0","--","--","2:12,8","0:00","0,0","0:00","Não","00:00.00","1","0,0","00:02:12,8","00:02:12,8","14","15"
Corrida,2020-01-15 19:05:45,false,"Blumenau Corrida","5,66","410","00:35:17","--","--","--","--","--","6:14","4:15","--","--","0,00","0,0","0,0","0,0","0,0","0,0","--","--","35:17","0:00","0,0","0:00","Não","01:29.64","11","0,0","00:32:51","00:35:17","14","15"
Corrida,2020-01-13 19:13:36,false,"Blumenau Correr","5,42","398","00:30:32","--","--","--","--","--","5:38","3:36","41","40","0,00","0,0","0,0","0,0","0,0","0,0","--","--","30:32","0:00","0,0","0:00","Não","00:00.00","1","0,0","00:30:32","00:32:25","15","24"
Corrida,2020-01-13 19:05:33,false,"Blumenau Correr","0,69","51","00:04:34,6","--","--","--","--","--","6:39","5:54","7","6","0,00","0,0","0,0","0,0","0,0","0,0","--","--","4:34,6","0:00","0,0","0:00","Não","00:00.00","1","0,0","00:04:34,6","00:04:34,6","9","20"
Corrida,2020-01-11 07:30:46,false,"Blumenau Correr","1,75","92","00:22:10","--","--","--","--","--","12:39","8:29","18","15","0,00","0,0","0,0","0,0","0,0","0,0","--","--","22:10","0:00","0,0","0:00","Não","00:00.00","1","0,0","00:22:10","00:22:10","14","28"
Corrida,2020-01-11 06:50:57,false,"Blumenau Correr","4,81","343","00:38:59","--","--","--","--","--","8:07","4:22","6","5","0,00","0,0","0,0","0,0","0,0","0,0","--","--","38:59","0:00","0,0","0:00","Não","00:02.29","16","0,0","00:35:38","00:38:59","14","18"
Corrida,2020-01-11 06:41:08,false,"Blumenau Correr","1,42","104","00:08:19,3","--","--","--","--","--","5:52","4:03","8","19","0,00","0,0","0,0","0,0","0,0","0,0","--","--","8:19,3","0:00","0,0","0:00","Não","00:00.00","1","0,0","00:08:19","00:08:19,3","14","28"
Corrida,2020-01-06 19:17:39,false,"Blumenau Correr","4,04","287","00:27:06","--","--","--","--","--","6:43","3:46","43","36","0,00","0,0","0,0","0,0","0,0","0,0","--","--","27:06","0:00","0,0","0:00","Não","00:53.56","23","0,0","00:26:27","00:27:06","17","26"
Corrida,2020-01-06 19:11:51,false,"Blumenau Correr","0,63","45","00:03:45,0","--","--","--","--","--","5:59","5:10","2","--","0,00","0,0","0,0","0,0","0,0","0,0","--","--","3:45,0","0:00","0,0","0:00","Não","00:00.00","1","0,0","00:03:45","00:03:45,0","17","21"
Corrida,2019-12-02 18:16:17,false,"Blumenau Correr","8,00","567","00:48:43","--","--","--","--","--","6:05","4:38","26","30","0,00","0,0","0,0","0,0","0,0","0,0","--","--","48:43","0:00","0,0","0:00","Não","02:02.08","11","0,0","00:48:41","00:48:43","12","29"
Corrida,2019-11-20 20:08:06,false,"Blumenau Correr","4,00","292","00:22:08","--","--","--","--","--","5:32","5:08","44","42","0,00","0,0","0,0","0,0","0,0","0,0","--","--","22:08","0:00","0,0","0:00","Não","00:00.00","1","0,0","00:22:08","00:22:08","17","27"
Corrida,2019-11-13 20:11:10,false,"Blumenau Correr","5,00","360","00:26:25","--","--","--","--","--","5:17","4:42","51","44","0,00","0,0","0,0","0,0","0,0","0,0","--","--","26:25","0:00","0,0","0:00","Não","00:00.77","6","0,0","00:26:24","00:26:25","17","26"
Corrida,2019-11-12 22:06:05,false,"Correr","0,00","--","00:56:46","--","--","--","--","--","--","--","--","--","0,00","0,0","0,0","0,0","0,0","0,0","--","--","56:46","0:00","0,0","0:00","Não","00:00.00","1","0,0","00:00:00","00:56:46","--","--"
Corrida,2019-11-11 20:13:32,false,"Blumenau Correr","6,00","437","00:34:36","--","--","--","--","--","5:46","4:55","70","67","0,00","0,0","0,0","0,0","0,0","0,0","--","--","34:36","0:00","0,0","0:00","Não","00:00.81","8","0,0","00:34:36","00:34:36","15","27"
Corrida,2019-11-08 19:33:01,false,"Blumenau Corrida","0,97","65","00:04:55,5","--","--","--","151","173","5:06","2:24","--","--","1,30","0,0","0,0","0,0","0,0","0,0","--","--","4:55,5","0:00","0,0","0:00","Não","00:00.00","1","0,0","00:04:30","00:05:01,6","11","13"
Corrida,2019-11-08 19:16:29,false,"Blumenau Corrida","2,31","172","00:11:05","--","--","--","169","177","4:47","3:57","--","--","1,24","0,0","0,0","0,0","0,0","0,0","--","--","11:05","0:00","0,0","0:00","Não","01:41.76","3","0,0","00:10:58","00:14:25","11","13"
Corrida,2019-11-08 19:06:10,false,"Blumenau Corrida","1,02","73","00:05:51,4","--","--","--","159","164","5:45","5:31","--","--","1,09","0,0","0,0","0,0","0,0","0,0","--","--","5:51,4","0:00","0,0","0:00","Não","00:06.54","2","0,0","00:05:50,5","00:05:51,4","10","13"
Corrida,2019-11-06 18:03:39,false,"Blumenau Corrida","2,34","79","00:11:26","--","--","--","173","185","4:53","2:49","--","--","1,19","0,0","0,0","0,0","0,0","0,0","--","--","11:26","0:00","0,0","0:00","Não","01:43.26","3","0,0","00:10:41","00:12:00","11","13"
Corrida,2019-11-06 18:01:54,false,"Blumenau Corrida","0,16","--","00:00:51,9","--","--","--","118","118","5:20","--","--","--","1,59","0,0","0,0","0,0","0,0","0,0","--","--","0:51,9","0:00","0,0","0:00","Não","00:00.00","1","0,0","00:00:00","00:00:56,7","11","13"
Corrida,2019-11-06 17:53:13,false,"Blumenau Corrida","0,40","14","00:02:19,3","--","--","--","157","171","5:50","4:59","--","--","1,09","0,0","0,0","0,0","0,0","0,0","--","--","2:19,3","0:00","0,0","0:00","Não","00:00.00","1","0,0","00:02:19","00:02:19,3","11","13"
Corrida,2019-11-05 17:47:59,false,"Blumenau Corrida","5,09","186","00:30:03","--","--","--","164","171","5:54","4:31","1","1","1,03","0,0","0,0","0,0","0,0","0,0","--","--","30:03","0:00","0,0","0:00","Não","00:34.37","6","0,0","00:30:02","00:30:03","10","13"
